DiscountTreatment,TotalPrice,PreviousSpend,PreviousQuantity,PreviousTransactions,AverageUnitPrice,RecencyDays,IndividualTreatmentEffect,TreatmentResponse
0,83.4,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
0,81.0,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
0,100.8,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
1,30.0,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
1,39.6,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
0,59.5,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
0,30.6,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
0,45.0,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
1,39.6,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,Negative
0,59.5,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,98.1,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,17.85,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
1,27.04,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,20.85,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
1,17.4,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
1,19.8,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,54.24,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,15.0,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,17.0,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,55.8,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,25.200000000000003,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,17.700000000000003,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
1,10.0,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,102.0,16904.510000000002,6553,32,3.8369525959367943,2,-18.109171427335177,Negative
0,12.6,613.08,368,2,3.612,84,-11.167468689003638,Negative
1,10.2,613.08,368,2,3.612,84,-11.167468689003638,Negative
0,13.5,613.08,368,2,3.612,84,-11.167468689003638,Negative
0,9.95,613.08,368,2,3.612,84,-11.167468689003638,Negative
0,17.9,613.08,368,2,3.612,84,-11.167468689003638,Negative
0,12.75,613.08,368,2,3.612,84,-11.167468689003638,Negative
1,15.0,613.08,368,2,3.612,84,-11.167468689003638,Negative
0,15.3,613.08,368,2,3.612,84,-11.167468689003638,Negative
1,7.800000000000001,613.08,368,2,3.612,84,-11.167468689003638,Negative
0,17.700000000000003,613.08,368,2,3.612,84,-11.167468689003638,Negative
0,15.0,613.08,368,2,3.612,84,-11.167468689003638,Negative
