Treatment,Outcome,Year,Month,PreviousQuantity,TimeIndex
0.8499999999999999,255,2010,2,289.0,2
0.8175,633,2010,3,255.0,3
0.819047619047619,1129,2010,4,633.0,4
0.8320689655172413,1409,2010,5,1129.0,5
0.8455172413793103,442,2010,6,1409.0,6
0.8440909090909091,503,2010,7,442.0,7
0.8355555555555555,581,2010,8,503.0,8
0.85,215,2010,9,581.0,9
0.838181818181818,1033,2010,10,215.0,10
0.8425714285714285,955,2010,11,1033.0,11
0.85,224,2010,12,955.0,12
0.85,337,2011,1,224.0,13
0.85,50,2011,2,337.0,14
0.85,23,2011,3,50.0,15
0.85,189,2011,4,23.0,16
0.85,6,2010,9,1.0,9
0.85,1,2010,11,6.0,11
0.85,2,2011,2,1.0,14
0.39,48,2011,6,2.0,18
0.39,24,2011,7,48.0,19
0.39,60,2011,8,24.0,20
0.39,60,2011,9,60.0,21
0.3899999999999999,6,2011,10,60.0,22
0.3899999999999999,91,2011,11,6.0,23
0.65,13,2010,2,25.0,2
0.65,14,2010,3,13.0,3
0.65,14,2010,4,14.0,4
0.65,49,2010,5,14.0,5
0.65,1,2010,6,49.0,6
0.65,2,2010,7,1.0,7
0.5025000000000001,163,2010,8,2.0,8
0.5025000000000001,180,2010,9,163.0,9
0.65,4,2010,10,180.0,10
0.65,22,2010,11,4.0,11
0.65,1,2010,12,22.0,12
0.65,4,2011,3,1.0,15
0.85,86,2010,3,42.0,3
0.85,20,2010,4,86.0,4
0.85,20,2010,5,20.0,5
0.85,63,2010,6,20.0,6
0.85,105,2010,7,63.0,7
0.85,65,2010,9,105.0,9
0.8499999999999999,98,2010,10,65.0,10
0.85,123,2010,11,98.0,11
0.6657142857142857,143,2010,12,123.0,12
0.42,160,2011,1,143.0,13
0.85,112,2011,3,160.0,15
0.85,82,2011,4,112.0,16
0.85,107,2011,5,82.0,17
0.85,13,2011,6,107.0,18
0.85,175,2011,7,13.0,19
0.85,85,2011,8,175.0,20
0.85,210,2011,9,85.0,21
0.85,50,2011,10,210.0,22
0.85,62,2011,11,50.0,23
0.85,26,2011,12,62.0,24
0.85,96,2010,2,161.0,2
0.85,35,2010,3,96.0,3
0.8283333333333333,45,2010,4,35.0,4
0.8283333333333333,80,2010,5,45.0,5
0.85,30,2010,6,80.0,6
0.85,52,2010,7,30.0,7
0.85,65,2010,8,52.0,8
0.85,43,2010,9,65.0,9
0.85,104,2010,10,43.0,10
0.85,70,2010,11,104.0,11
0.7507692307692307,123,2010,12,70.0,12
0.5275,90,2011,1,123.0,13
0.85,37,2011,2,90.0,14
0.85,83,2011,3,37.0,15
0.85,75,2011,4,83.0,16
0.85,33,2011,5,75.0,17
0.4486666666666666,447,2011,6,33.0,18
0.42,662,2011,7,447.0,19
0.42,630,2011,8,662.0,20
0.42,193,2011,9,630.0,21
1.25,33,2010,2,214.0,2
1.25,64,2010,3,33.0,3
1.25,19,2010,4,64.0,4
1.25,10,2010,5,19.0,5
1.25,17,2010,6,10.0,6
1.25,13,2010,7,17.0,7
1.1866666666666668,142,2010,8,13.0,8
1.25,2,2010,9,142.0,9
1.25,28,2010,10,2.0,10
1.25,28,2010,11,28.0,11
1.22625,867,2010,2,48.0,2
1.25,100,2010,3,867.0,3
1.25,53,2010,4,100.0,4
1.2025,133,2010,5,53.0,5
1.25,73,2010,6,133.0,6
1.25,53,2010,7,73.0,7
1.25,74,2010,8,53.0,8
1.25,43,2010,9,74.0,9
1.25,83,2010,10,43.0,10
1.242962962962963,317,2010,11,83.0,11
0.7617647058823529,366,2010,12,317.0,12
0.6966666666666667,400,2011,1,366.0,13
1.1042857142857143,263,2011,2,400.0,14
1.1577777777777778,117,2011,3,263.0,15
1.25,30,2011,4,117.0,16
1.25,8,2011,5,30.0,17
