CustomerID,TotalSpend,TotalQuantity,PreviousTransactions,AverageTreatmentEffect,AveragePriceReduction,CustomerResponse,RecommendedDiscount,PricingStrategy,CurrentAveragePrice,RecommendedPrice,ExpectedRevenue
12346,365.37,70,32,7.429736078459638,16.510903426791277,Positive Response,10,Moderate Discount Strategy,6.253333333333334,5.628000000000001,393.9600000000001
12347,1290.38,828,70,10.491947755001496,24.405922715781873,Positive Response,10,Moderate Discount Strategy,2.295070422535211,2.06556338028169,1710.2864788732395
12348,1323.32,373,19,15.656852162317955,14.181818181818183,High Response,20,High Discount Strategy,0.7195,0.5756,214.6988
12349,2654.64,993,101,10.930529093011849,23.13341022683583,High Response,20,High Discount Strategy,8.581764705882353,6.8654117647058825,6817.353882352942
12351,2671.14,261,20,11.242525935849182,24.739363200901668,High Response,20,High Discount Strategy,2.355238095238095,1.8841904761904762,491.7737142857143
12352,313.8,188,17,9.674939355843934,16.392318244170095,Positive Response,10,Moderate Discount Strategy,3.033333333333333,2.73,513.24
12353,343.8,192,19,9.397723744363352,16.624203821656046,Positive Response,10,Moderate Discount Strategy,1.939,1.7451,335.05920000000003
12355,478.21000000000004,303,21,12.270261875711276,11.127272727272727,High Response,20,High Discount Strategy,2.399090909090909,1.9192727272727272,581.5396363636363
12356,3559.45,1825,82,15.20179570912683,25.61518802482658,High Response,20,High Discount Strategy,3.12566265060241,2.500530120481928,4563.467469879519
12357,11229.99,3879,164,38.85221760467937,26.131907308377894,High Response,20,High Discount Strategy,8.458424242424242,6.766739393939393,26248.182109090907
12358,12079.99,831,57,22.930941071169777,22.768863093205876,High Response,20,High Discount Strategy,4.41603448275862,3.5328275862068965,2935.779724137931
12359,2719.01,1130,116,10.62971768458819,24.009116809116808,Positive Response,10,Moderate Discount Strategy,4.732393162393163,4.259153846153847,4812.843846153847
12360,2563.36,1294,87,9.914954320033852,23.663636363636364,Positive Response,10,Moderate Discount Strategy,2.7070454545454545,2.436340909090909,3152.6251363636366
12361,1590.83,144,18,8.862882285999493,16.718266253869967,Positive Response,10,Moderate Discount Strategy,4.152631578947369,3.737368421052632,538.181052631579
12362,321.35,1,0,8.817738099293102,0.0,Positive Response,10,Moderate Discount Strategy,130.0,117.0,117.0
12366,324.48,296,2,28.663215321657884,0.0,High Response,20,High Discount Strategy,1.6900000000000002,1.3520000000000003,400.1920000000001
12368,887.7,330,17,29.454660025121402,25.454545454545453,High Response,20,High Discount Strategy,4.391666666666667,3.5133333333333336,1159.4
12369,1780.95,1241,92,12.733984200788491,26.731834473769958,High Response,20,High Discount Strategy,3.148924731182796,2.519139784946237,3126.25247311828
12370,1791.15,252,34,9.218702546520582,23.283292978208234,Positive Response,10,Moderate Discount Strategy,6.410285714285715,5.7692571428571435,1453.8528000000001
12371,1939.42,845,103,9.475499594209586,23.455019556714472,Positive Response,10,Moderate Discount Strategy,4.05625,3.6506250000000002,3084.7781250000003
12373,2179.42,319,36,10.722501098650463,16.216216216216218,High Response,20,High Discount Strategy,4.644594594594595,3.715675675675676,1185.3005405405406
12374,2046.29,1020,49,15.400924781145175,14.543589743589745,High Response,20,High Discount Strategy,2.9894,2.39152,2439.3504
12376,2246.29,240,12,15.349064317793356,19.04761904761905,High Response,20,High Discount Strategy,8.03076923076923,6.424615384615385,1541.9076923076925
12377,1718.2,1161,74,13.322766623369935,25.319658119658122,High Response,20,High Discount Strategy,2.762266666666667,2.209813333333334,2565.5932800000005
12378,1798.2,787,81,9.719940612050742,16.936065810362248,Positive Response,10,Moderate Discount Strategy,4.402073170731708,3.9618658536585367,3117.9884268292685
12379,1407.7,408,40,10.260790216816426,10.776053215077605,Positive Response,10,Moderate Discount Strategy,2.948780487804878,2.65390243902439,1082.7921951219512
12380,6906.49,2228,172,16.82260958269761,15.967519955959265,High Response,20,High Discount Strategy,13.81179190751445,11.049433526011562,24618.13789595376
12385,6951.49,612,64,14.704005962518439,13.367521367521368,High Response,20,High Discount Strategy,3.6807692307692306,2.9446153846153846,1802.1046153846155
12386,1938.4,214,7,18.855773780481424,15.833333333333332,High Response,20,High Discount Strategy,2.72625,2.181,466.73400000000004
12387,258.90000000000003,134,8,13.111558574551637,25.68888888888889,High Response,20,High Discount Strategy,2.7622222222222224,2.209777777777778,296.11022222222226
12388,1105.45,539,45,9.78382201585581,24.21518054532056,Positive Response,10,Moderate Discount Strategy,2.9269565217391307,2.634260869565218,1419.8666086956525
12389,1386.53,614,48,11.474644155227738,13.699633699633702,High Response,20,High Discount Strategy,2.6542857142857144,2.1234285714285717,1303.785142857143
