CustomerID,PreviousSpend,PreviousQuantity,PreviousTransactions,AverageUnitPrice,RecencyDays,IndividualTreatmentEffect,CustomerResponse,RecommendedDiscount,PricingStrategy,CurrentAveragePrice,RecommendedPrice,EstimatedPriceReduction
13085,2017.2,728,6,3.4040322580645164,315,-4.332576034480041,No Response,0.0,Regular Price,3.4040322580645164,3.4040322580645164,0.0
13078,16904.510000000002,6553,32,3.8369525959367934,2,-18.109171427335177,No Response,0.0,Regular Price,3.8369525959367934,3.8369525959367934,0.0
15362,613.08,368,2,3.612,84,-11.167468689003638,No Response,0.0,Regular Price,3.612,3.612,0.0
18102,349164.35,124216,89,3.4919298245614034,1,-319.84657127090213,No Response,0.0,Regular Price,3.4919298245614034,3.4919298245614034,0.0
12682,11745.69,5443,23,3.4336575875486384,1,-13.21644871239703,No Response,0.0,Regular Price,3.4336575875486384,3.4336575875486384,0.0
18087,10705.8,3868,15,3.1239534883720927,15,-15.760838445766916,No Response,0.0,Regular Price,3.1239534883720927,3.1239534883720927,0.0
13635,1928.13,1207,3,2.2248,78,-5.0082890824300765,No Response,0.0,Regular Price,2.2248,2.2248,0.0
14110,7304.8,3380,21,2.93516393442623,71,-6.435552280053067,No Response,0.0,Regular Price,2.93516393442623,2.93516393442623,0.0
12636,141.0,1,1,141.0,374,-647.3694323557015,No Response,0.0,Regular Price,141.0,141.0,0.0
17519,3265.45,2178,10,3.8135,4,-12.056487601741177,No Response,0.0,Regular Price,3.8135,3.8135,0.0
13758,6226.43,3224,10,3.4132812500000003,2,-13.134507693047976,No Response,0.0,Regular Price,3.4132812500000003,3.4132812500000003,0.0
12362,130.0,1,1,130.0,374,-595.836217738989,No Response,0.0,Regular Price,130.0,130.0,0.0
15413,6798.72,2694,5,3.4688,327,-8.849355175954642,No Response,0.0,Regular Price,3.4688,3.4688,0.0
16321,230.9,124,2,2.1,262,0.6886867974309867,High Response,0.15,High Discount,2.1,1.785,0.31500000000000017
16167,1386.12,1494,5,4.181428571428572,50,-12.678985763961974,No Response,0.0,Regular Price,4.181428571428572,4.181428571428572,0.0
17865,15785.87,7193,26,3.2670625,11,-14.371519544770289,No Response,0.0,Regular Price,3.2670625,3.2670625,0.0
17592,148.3,38,1,3.965384615384615,374,-5.553070510368645,No Response,0.0,Regular Price,3.965384615384615,3.965384615384615,0.0
13767,18320.17,7913,39,3.7167213114754096,5,-14.533344229982731,No Response,0.0,Regular Price,3.7167213114754096,3.7167213114754096,0.0
17238,3982.66,1874,17,2.896195652173913,7,-6.817931150186155,No Response,0.0,Regular Price,2.896195652173913,2.896195652173913,0.0
15712,2400.05,791,7,4.016371681415929,15,-15.111141787511382,No Response,0.0,Regular Price,4.016371681415929,4.016371681415929,0.0
15311,55942.74,32784,121,2.880848871442591,1,5.9791177926416506,High Response,0.15,High Discount,2.880848871442591,2.448721540726202,0.43212733071638887
16329,1664.92,797,4,2.268653846153846,63,-5.581959518517051,No Response,0.0,Regular Price,2.268653846153846,2.268653846153846,0.0
17700,4145.33,2203,10,3.760275229357798,17,-12.887723681712874,No Response,0.0,Regular Price,3.760275229357798,3.760275229357798,0.0
14911,152121.22,69709,205,5.668200431034483,1,-63.74955722380383,No Response,0.0,Regular Price,5.668200431034483,5.668200431034483,0.0
15998,5193.92,3318,11,2.580673181324648,29,-6.2539956343444585,No Response,0.0,Regular Price,2.580673181324648,2.580673181324648,0.0
12931,50291.38,34902,42,2.13,16,-6.498496302796129,No Response,0.0,Regular Price,2.13,2.13,0.0
12533,1367.89,704,2,3.3030555555555554,263,-5.686683518399555,No Response,0.0,Regular Price,3.3030555555555554,3.3030555555555554,0.0
17984,999.51,841,4,2.279226804123712,28,-5.344312247972815,No Response,0.0,Regular Price,2.279226804123712,2.279226804123712,0.0
14871,726.89,267,5,3.606237623762377,129,-9.224274289199744,No Response,0.0,Regular Price,3.606237623762377,3.606237623762377,0.0
13394,4101.68,2962,11,2.460905511811024,15,-4.927967258447693,No Response,0.0,Regular Price,2.460905511811024,2.460905511811024,0.0
16011,2486.0,1413,14,2.92493670886076,2,-6.6204166801908135,No Response,0.0,Regular Price,2.92493670886076,2.92493670886076,0.0
16393,2441.61,1514,11,1.941744186046512,5,-2.803968115164114,No Response,0.0,Regular Price,1.941744186046512,1.941744186046512,0.0
14040,8963.49,3428,23,3.763804347826087,22,-13.498906267541877,No Response,0.0,Regular Price,3.763804347826087,3.763804347826087,0.0
12913,4217.2300000000005,1813,9,3.285,4,-12.255179231780971,No Response,0.0,Regular Price,3.285,3.285,0.0
