StockCode,Year,Month,AvgPrice,TotalQuantity,TotalRevenue,Transactions,Countries
10002,2009,12,0.85,212,180.2,17,3
10002,2010,1,0.85,289,245.65,15,2
10002,2010,2,0.8499999999999999,255,216.75,13,4
10002,2010,3,0.8175,633,479.81,15,3
10002,2010,4,0.819047619047619,1129,838.75,21,4
10002,2010,5,0.8320689655172413,1409,1064.53,28,5
10002,2010,6,0.8455172413793103,442,372.58,29,3
10002,2010,7,0.8440909090909091,503,401.55,21,3
10002,2010,8,0.8355555555555555,581,441.84999999999997,18,2
10002,2010,9,0.85,215,182.75,16,5
10002,2010,10,0.838181818181818,1033,774.05,22,5
10002,2010,11,0.8425714285714285,955,740.25,33,7
10002,2010,12,0.85,224,190.39999999999998,16,3
10002,2011,1,0.85,337,286.45,18,5
10002,2011,2,0.85,50,42.5,5,2
10002,2011,3,0.85,23,19.549999999999997,5,1
10002,2011,4,0.85,189,160.65,5,2
10080,2009,12,0.85,4,3.4,2,1
10080,2010,7,0.85,1,0.85,1,1
10080,2010,9,0.85,6,5.1,1,1
10080,2010,11,0.85,1,0.85,1,1
10080,2011,2,0.85,2,1.7,1,1
10080,2011,6,0.39,48,18.72,1,1
10080,2011,7,0.39,24,9.36,2,1
10080,2011,8,0.39,60,23.4,4,1
10080,2011,9,0.39,60,23.4,4,1
10080,2011,10,0.38999999999999996,6,2.34,3,1
10080,2011,11,0.38999999999999996,91,35.489999999999995,6,1
10109,2009,12,0.42,4,1.68,1,1
10120,2009,12,0.21000000000000002,106,22.26,5,1
10120,2010,1,0.21,30,6.3,1,1
10120,2010,3,0.21,68,14.28,4,2
10120,2010,4,0.21,60,12.6,2,1
10120,2010,5,0.21,4,0.84,1,1
10120,2010,6,0.21,30,6.3,1,1
10120,2010,7,0.21,3,0.63,1,1
10120,2010,9,0.21,9,1.8900000000000001,2,1
10120,2010,10,0.21,71,14.91,4,1
10120,2010,11,0.21,75,15.75,12,2
10120,2010,12,0.21,16,3.36,4,1
10120,2011,2,0.21,30,6.3,1,1
10120,2011,3,0.21,28,5.88,4,1
10120,2011,5,0.21,3,0.63,2,1
10120,2011,7,0.21,5,1.05,1,1
10120,2011,8,0.21,35,7.35,2,1
10120,2011,9,0.21,10,2.1,4,1
10120,2011,10,0.21,10,2.1,2,1
10120,2011,11,0.21,49,10.29,8,2
10120,2011,12,0.21,6,1.26,1,1
10123C,2009,12,0.6366666666666667,136,76.88000000000001,9,2
10123C,2010,1,0.65,25,16.25,3,1
10123C,2010,2,0.65,13,8.450000000000001,2,1
10123C,2010,3,0.65,14,9.1,2,1
10123C,2010,4,0.65,14,9.100000000000001,2,1
10123C,2010,5,0.65,49,31.85,4,2
10123C,2010,6,0.65,1,0.65,1,1
10123C,2010,7,0.65,2,1.3,2,1
10123C,2010,8,0.5025000000000001,163,20.990000000000002,4,2
10123C,2010,9,0.5025000000000001,180,32.040000000000006,4,3
10123C,2010,10,0.65,4,2.6,4,1
10123C,2010,11,0.65,22,14.3,6,1
10123C,2010,12,0.65,1,0.65,1,1
10123C,2011,3,0.65,4,2.6,2,1
10123G,2010,7,0.65,18,11.700000000000001,3,1
10123G,2010,8,0.06,1104,66.24,1,1
10123G,2010,9,0.06,1104,66.24,1,1
10123G,2010,10,0.65,2,1.3,2,1
10123G,2010,11,0.65,18,11.700000000000001,5,1
10124A,2010,3,0.42,3,1.26,1,1
10124A,2010,4,0.42,1,0.42,1,1
10124A,2010,6,0.42,3,1.26,1,1
10124A,2010,7,0.42,2,0.84,1,1
10124A,2010,8,0.42,5,2.1,1,1
10124A,2010,9,0.42,21,8.82,4,1
10124A,2010,10,0.42,4,1.68,2,1
10124A,2010,11,0.42,3,1.26,2,1
10124A,2010,12,0.42,4,1.68,1,1
10124A,2011,2,0.42,3,1.26,1,1
10124A,2011,3,0.42,5,2.1,2,1
10124A,2011,11,0.42,4,1.68,1,1
10124G,2010,5,0.42,1,0.42,1,1
10124G,2010,6,0.42,3,1.26,1,1
10124G,2010,8,0.42,5,2.1,1,1
10124G,2010,9,0.42,4,1.68,1,1
10124G,2010,10,0.42,2,0.84,1,1
10124G,2010,12,0.42,5,2.1,1,1
10124G,2011,3,0.42,4,1.68,1,1
10124G,2011,9,0.42,4,1.68,1,1
10124G,2011,11,0.42,4,1.68,1,1
10125,2009,12,0.85,123,104.55,13,1
10125,2010,2,0.85,42,35.7,3,1
10125,2010,3,0.85,86,73.1,5,1
